Key,Participant_ID,Category,Difficulty,ResponseTime,routineStart,routineEnd,Result,Start_ms,End_ms
1spl1,1,1,0,10.3698157,1680003250.0,1680003260.0,1.0,1680003250000.0,1680003260000.0
1spl2,1,1,0,7.9139915,1680003260.0,1680003268.0,1.0,1680003260000.0,1680003268000.0
1Item1,1,1,0,7.654472,1680003268.0,1680003276.0,1.0,1680003268000.0,1680003276000.0
1Item2,1,1,0,14.5972054,1680003276.0,1680003290.0,1.0,1680003276000.0,1680003290000.0
1Item3,1,1,0,16.4765655,1680003291.0,1680003307.0,1.0,1680003291000.0,1680003307000.0
1Item4,1,1,1,17.5460518,1680003307.0,1680003325.0,1.0,1680003307000.0,1680003325000.0
1Item5,1,1,1,26.0444801,1680003325.0,1680003351.0,1.0,1680003325000.0,1680003351000.0
1Item6,1,1,1,8.7654347,1680003351.0,1680003359.0,1.0,1680003351000.0,1680003359000.0
1Item7,1,1,2,8.8984063,1680003359.0,1680003368.0,1.0,1680003359000.0,1680003368000.0
1Item8,1,1,2,16.4553996,1680003368.0,1680003385.0,0.0,1680003368000.0,1680003385000.0
1Item9,1,1,2,9.6594295,1680003385.0,1680003394.0,0.0,1680003385000.0,1680003394000.0
1Item10,1,1,2,21.0424142,1680003394.0,1680003416.0,1.0,1680003394000.0,1680003416000.0
2spl1,1,2,0,6.2521604,1680003479.0,1680003485.0,1.0,1680003479000.0,1680003485000.0
2spl2,1,2,0,7.5339564,1680003487.0,1680003494.0,1.0,1680003487000.0,1680003494000.0
2Item1,1,2,0,4.5091701,1680003495.0,1680003500.0,1.0,1680003495000.0,1680003500000.0
2Item2,1,2,0,3.0500426,1680003501.0,1680003504.0,1.0,1680003501000.0,1680003504000.0
2Item3,1,2,0,5.4452065,1680003505.0,1680003511.0,1.0,1680003505000.0,1680003511000.0
2Item4,1,2,1,11.4532209,1680003512.0,1680003523.0,1.0,1680003512000.0,1680003523000.0
2Item5,1,2,1,7.4485454,1680003524.0,1680003531.0,1.0,1680003524000.0,1680003531000.0
2Item6,1,2,1,12.2410875,1680003532.0,1680003545.0,0.0,1680003532000.0,1680003545000.0
2Item7,1,2,2,34.8990065,1680003546.0,1680003581.0,0.0,1680003546000.0,1680003581000.0
2Item8,1,2,2,8.4832899,1680003582.0,1680003590.0,1.0,1680003582000.0,1680003590000.0
2Item9,1,2,2,19.0913841,1680003591.0,1680003610.0,0.0,1680003591000.0,1680003610000.0
2Item10,1,2,2,14.7978858,1680003611.0,1680003626.0,1.0,1680003611000.0,1680003626000.0
3spl1,1,3,0,3.3377437,1680003673.0,1680003677.0,1.0,1680003673000.0,1680003677000.0
3spl2,1,3,0,2.77424,1680003677.0,1680003680.0,1.0,1680003677000.0,1680003680000.0
3Item15,1,3,2,8.1283822,1680003680.0,1680003688.0,0.0,1680003680000.0,1680003688000.0
3Item2,1,3,0,2.9998228,1680003688.0,1680003691.0,1.0,1680003688000.0,1680003691000.0
3Item5,1,3,0,3.3119175,1680003691.0,1680003694.0,1.0,1680003691000.0,1680003694000.0
3Item12,1,3,1,8.0149059,1680003694.0,1680003702.0,1.0,1680003694000.0,1680003702000.0
3Item6,1,3,0,3.6673335,1680003702.0,1680003706.0,1.0,1680003702000.0,1680003706000.0
3Item8,1,3,1,11.7085484,1680003706.0,1680003718.0,1.0,1680003706000.0,1680003718000.0
3Item7,1,3,1,6.7127493,1680003718.0,1680003724.0,1.0,1680003718000.0,1680003724000.0
3Item9,1,3,1,22.0031418,1680003724.0,1680003746.0,1.0,1680003724000.0,1680003746000.0
3Item17,1,3,2,11.1193015,1680003746.0,1680003757.0,0.0,1680003746000.0,1680003757000.0
3Item19,1,3,2,12.6894554,1680003757.0,1680003770.0,1.0,1680003757000.0,1680003770000.0
3Item11,1,3,1,10.8305729,1680003770.0,1680003781.0,1.0,1680003770000.0,1680003781000.0
3Item4,1,3,0,10.0934567,1680003781.0,1680003791.0,1.0,1680003781000.0,1680003791000.0
3Item13,1,3,2,7.7947661,1680003791.0,1680003799.0,1.0,1680003791000.0,1680003799000.0
3Item10,1,3,0,1.0,1680003799.0,1680003800.0,,1680003799000.0,1680003800000.0
1spl1,2,1,0,10.800266799982635,1676984654.0079188,1676984664.8081856,0.0,1676984654007.919,1676984664808.1855
1spl2,2,1,0,4.553883499931544,1676984664.8897507,1676984669.4436345,0.0,1676984664889.7507,1676984669443.6345
